"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gene122",106.418296686496,-2.78850540520811,0.803256044864872,-3.47150254646039,0.000517554423000678,0.180146007923622
"Gene321",79.1730608556821,-2.84959544389289,0.80013270072677,-3.56140355381621,0.000368877609544057,0.180146007923622
"Gene894",147.449072797664,-2.71780124460858,0.785889583504501,-3.45824820897758,0.000543700225121597,0.180146007923622
"Gene14",103.559573693722,3.00433974740999,0.910875765511541,3.29829803488379,0.000972728283426657,0.241722978431524
"Gene253",64.5974993824521,-2.35252020516997,0.784448968133308,-2.99894614020346,0.00270915193713703,0.259563949947731
"Gene426",72.3464721289241,-2.72261548044517,0.900120574746646,-3.0247230835841,0.00248860866479527,0.259563949947731
"Gene449",56.8142101694742,-2.54377316298593,0.800736585344686,-3.17679148117222,0.00148914062312459,0.259563949947731
"Gene527",58.1570693372751,2.24529143818417,0.753183248100152,2.98106927344408,0.00287243807789239,0.259563949947731
"Gene622",36.2968163925125,2.78856637312349,0.891872140314082,3.12664366008952,0.0017681409448055,0.259563949947731
"Gene850",84.7235000739536,2.7644974893696,0.918346360804605,3.01029938959795,0.00260990291631844,0.259563949947731
"Gene969",40.8671254336889,2.12365380624362,0.699792189389057,3.03469206779465,0.00240781387411703,0.259563949947731
"Gene5",44.2750716904696,-2.1409517825684,0.744493281117347,-2.87571672823592,0.00403111299651423,0.275296015788264
"Gene257",144.004553677286,2.17582983306464,0.76234288580549,2.85413542065872,0.0043154131732317,0.275296015788264
"Gene261",110.56659022371,2.46252087649093,0.867145950147492,2.83979977773302,0.004514185773583,0.275296015788264
"Gene346",85.3641617985789,2.23836436301412,0.791964871518945,2.82634299008876,0.00470828196016146,0.275296015788264
"Gene477",107.280121159938,-2.68364124958672,0.942172700525072,-2.84835386133681,0.00439460311397525,0.275296015788264
"Gene728",91.6673444688906,-2.20153428294141,0.758937214249742,-2.90081213782324,0.00372196942513848,0.275296015788264
"Gene792",61.0760959450948,1.95741530614381,0.702649534578484,2.78576332839679,0.00534018458767796,0.294896860008439
"Gene489",73.7897655617654,-2.64935107334336,0.968732193455966,-2.73486428059313,0.00624060008838553,0.310157824392761
"Gene824",80.2473068585443,-1.92590518633443,0.703182935108691,-2.73883948283919,0.00616564682871652,0.310157824392761
"Gene135",75.5401447312816,2.24671254559385,0.833005155298646,2.69711721626545,0.00699426455993908,0.31951888041718
"Gene886",43.9967642148381,1.86097121944863,0.690926803556613,2.69344192448332,0.00707184644786514,0.31951888041718
"Gene899",86.7113930403292,2.38157305325686,0.912794700043471,2.60910043971929,0.00907805925973336,0.392330039311955
"Gene371",78.3667021957335,2.48948518780498,0.961789640500191,2.58838844064727,0.00964261754362651,0.399365076598531
"Gene45",64.6585156808672,-2.18571052893101,0.850616942971278,-2.56955912645725,0.0101828013359267,0.404868181116446
"Gene168",120.676999139548,-2.09734909596009,0.830976654364548,-2.52395670196528,0.0116042220164983,0.436260047434222
"Gene905",57.3631434934732,2.38577305611708,0.948023313763217,2.51657635575085,0.0118501220128008,0.436260047434222
"Gene704",91.7096927324069,-1.40735790741561,0.582326702629961,-2.41678408539324,0.0156583021981849,0.531153337028244
"Gene802",132.371482370342,-2.47514031413507,1.02412568265429,-2.41683257832193,0.0156562164129861,0.531153337028244
"Gene949",104.00141794884,-1.91948174400861,0.797056162962299,-2.40821391666399,0.0160307848197659,0.531153337028244
"Gene229",75.1999867523464,-2.27159849133313,0.949550129411849,-2.39228917038867,0.0167436446200138,0.536876862977217
